Timestamp,Current AN (RMS)_MAX,Current AN (RMS)_MIN,Current AN (RMS)_AVG,Current LineToNeutralAverage (RMS)_MAX,Current LineToNeutralAverage (RMS)_MIN,Current LineToNeutralAverage (RMS)_AVG,Current BN (RMS)_MAX,Current BN (RMS)_MIN,Current BN (RMS)_AVG,Current CN (RMS)_MAX,Current CN (RMS)_MIN,Current CN (RMS)_AVG,Current AN (TotalTHD)_MAX,Current AN (TotalTHD)_MIN,Current AN (TotalTHD)_AVG,Current BN (TotalTHD)_MAX,Current BN (TotalTHD)_MIN,Current BN (TotalTHD)_AVG,Current CN (TotalTHD)_MAX,Current CN (TotalTHD)_MIN,Current CN (TotalTHD)_AVG,Power Total (S)_MAX,Power Total (S)_MIN,Power Total (S)_AVG,Power Total (Q)_MAX,Power Total (Q)_MIN,Power Total (Q)_AVG,Power Total (P)_MAX,Power Total (P)_MIN,Power Total (P)_AVG,Voltage AN (TotalTHD)_MAX,Voltage AN (TotalTHD)_MIN,Voltage AN (TotalTHD)_AVG,Voltage BN (TotalTHD)_MAX,Voltage BN (TotalTHD)_MIN,Voltage BN (TotalTHD)_AVG,Voltage CN (TotalTHD)_MAX,Voltage CN (TotalTHD)_MIN,Voltage CN (TotalTHD)_AVG,Voltage AN (FlkrPLT)_1,Voltage BN (FlkrPLT)_1,Voltage BN (FlkrPST)_1,Voltage CN (FlkrPLT)_1,Voltage CN (FlkrPST)_1,Voltage AN (FlkrPST)_1,Voltage AN (RMS)_MAX,Voltage AN (RMS)_MIN,Voltage AN (RMS)_AVG,Voltage BN (RMS)_MAX,Voltage BN (RMS)_MIN,Voltage BN (RMS)_AVG,Voltage CN (RMS)_MAX,Voltage CN (RMS)_MIN,Voltage CN (RMS)_AVG,Voltage LineToNeutralAverage (RMS)_MAX,Voltage LineToNeutralAverage (RMS)_MIN,Voltage LineToNeutralAverage (RMS)_AVG
2023-08-13T12:30:00.0000000,7.87324857711792,5.405995845794678,6.6732563972473145,7.853580474853516,5.380956649780273,6.6522216796875,7.834656238555908,5.357349872589111,6.630007266998291,7.874088287353516,5.377265453338623,6.6533942222595215,56.031036376953125,50.88813781738281,48.15322494506836,51.38653564453125,49.169010162353516,47.41567611694336,33.36991500854492,31.94779396057129,30.000131607055664,326488.5559082031,227782.9132080078,278622.802734375,9231.892585754395,5835.349559783936,7306.222438812256,-227661.7431640625,-326422.6989746094,-278525.0244140625,1.789544701576233,0.9106864929199219,1.7322016954421997,1.8127925395965576,0.911448061466217,1.7528321743011475,1.9204031229019165,0.8974061608314514,1.8555405139923096,0.39033985137939453,0.39505863189697266,0.5286813974380493,0.4116310775279999,0.4703674614429474,0.527148425579071,14107.4404296875,13838.693359375,14042.82421875,14083.7451171875,13777.31640625,14008.2509765625,14093.5771484375,13788.490234375,14016.787109375,14080.8662109375,13920.0078125,14022.62890625
2023-08-13T12:45:00.0000000,10.164716720581055,7.799039363861084,8.958038330078125,10.155445098876953,7.7934160232543945,8.946128845214844,10.139703750610352,7.757807731628418,8.92641830444336,10.167874336242676,7.78607177734375,8.953941345214844,52.62397384643555,50.19352340698242,46.35636520385742,50.34321594238281,48.466529846191406,46.63206100463867,32.57533264160156,31.413429260253906,29.795726776123047,425578.0029296875,326564.5751953125,374760.2844238281,10061.230659484863,5689.637184143066,7374.999523162842,-326499.81689453125,-425531.8298339844,-374686.46240234375,1.7645331621170044,0.9241658449172974,1.722668170928955,1.841589093208313,0.9189730286598206,1.782893419265747,1.9075483083724976,0.9053982496261597,1.844180703163147,0.39033985137939453,0.39505863189697266,0.6555719971656799,0.4116310775279999,0.5595114827156067,0.5147932171821594,14051.8125,13912.86328125,14017.546875,14022.9599609375,13877.5888671875,13986.140625,14033.064453125,13897.62109375,13999.732421875,14031.2509765625,13929.9169921875,14001.130859375
2023-08-13T13:00:00.0000000,12.69533920288086,9.875846862792969,11.376630783081055,12.685689926147461,9.866067886352539,11.369441986083984,12.665863990783691,9.849225997924805,11.35035514831543,12.699356079101562,9.873128890991211,11.381324768066406,52.79907989501953,51.288753509521484,49.622371673583984,51.03775405883789,49.2381706237793,47.551490783691406,32.639122009277344,31.78291893005371,31.095218658447266,526454.345703125,416755.4016113281,475585.9680175781,13425.247192382812,5529.730796813965,9522.820472717285,-416632.5988769531,-526308.5327148438,-475488.0676269531,1.7931504249572754,0.9094446897506714,1.7163664102554321,1.8740359544754028,0.9036445021629333,1.7790356874465942,1.9370641708374023,0.8905165195465088,1.863244891166687,0.39033985137939453,0.39505863189697266,0.18034741282463074,0.4116310775279999,0.17871756851673126,0.17380569875240326,14044.671875,13828.0205078125,13986.4755859375,14011.1083984375,13807.8828125,13958.580078125,14024.625,13827.546875,13972.0078125,14022.2705078125,13849.0126953125,13972.3447265625
2023-08-13T13:15:00.0000000,14.972091674804688,12.589104652404785,13.743304252624512,14.971278190612793,12.5962553024292,13.739906311035156,14.952163696289062,12.574541091918945,13.719878196716309,14.99213981628418,12.606571197509766,13.756526947021484,51.434356689453125,49.95116424560547,47.080631256103516,50.26708984375,48.328948974609375,45.72716522216797,31.90760612487793,30.959033966064453,28.947526931762695,625467.8344726562,526525.2075195312,573551.513671875,16126.314163208008,8199.48673248291,11756.423950195312,-526382.568359375,-625310.4248046875,-573427.3071289062,1.771896481513977,0.8797321319580078,1.7144954204559326,1.8263342380523682,0.8849756717681885,1.7718496322631836,1.9206888675689697,0.8593211770057678,1.864551067352295,0.39033985137939453,0.39505863189697266,0.37710562348365784,0.4116310775279999,0.4961477220058441,0.44563016295433044,13996.400390625,13854.3564453125,13955.13671875,13951.376953125,13823.5810546875,13912.9052734375,13966.8076171875,13839.3935546875,13931.9326171875,13965.7373046875,13870.6396484375,13933.314453125
2023-08-13T13:30:00.0000000,17.188018798828125,14.791288375854492,16.114627838134766,17.19430160522461,14.786253929138184,16.116233825683594,17.17780303955078,14.762590408325195,16.096529006958008,17.21742057800293,14.803730964660645,16.137561798095703,53.34796905517578,50.27178955078125,46.473907470703125,51.12587356567383,48.085670471191406,45.255062103271484,32.94091796875,30.976408004760742,28.601703643798828,715448.9135742188,621850.7080078125,672310.8520507812,15140.974998474121,9481.350898742676,12099.899291992188,-621776.2451171875,-715361.3891601562,-672200.7446289062,1.770766258239746,0.8912640810012817,1.7239147424697876,1.8395785093307495,0.8926886916160583,1.767216682434082,1.9225250482559204,0.8763552904129028,1.8478939533233643,0.39033985137939453,0.39505863189697266,0.5621098875999451,0.4116310775279999,0.5720353126525879,0.5300359725952148,13980.6337890625,13819.8203125,13944.02734375,13941.375,13778.056640625,13901.541015625,13955.541015625,13805.3623046875,13916.2978515625,13952.6201171875,13874.0634765625,13920.6298828125
2023-08-13T13:45:00.0000000,19.44854164123535,16.231218338012695,18.26706314086914,19.444072723388672,16.664113998413086,18.26995849609375,19.42991828918457,16.949844360351562,18.24977684020996,19.473430633544922,16.80051612854004,18.293027877807617,57.97684097290039,49.73969268798828,47.0135498046875,51.030967712402344,47.938232421875,45.492855072021484,33.251747131347656,30.930788040161133,29.289077758789062,809333.4350585938,715489.013671875,764446.1059570312,23443.00079345703,11106.781005859375,17448.32420349121,-715402.7709960938,-809068.6645507812,-764242.5537109375,1.7543425559997559,0.8718793392181396,1.6940107345581055,1.8337568044662476,0.8808709383010864,1.7499758005142212,1.9123140573501587,0.8626121282577515,1.8559638261795044,0.39033985137939453,0.39505863189697266,0.5225639343261719,0.4116310775279999,0.5168707370758057,0.47349774837493896,14118.87109375,13891.8212890625,13980.4619140625,14074.251953125,13849.1474609375,13944.11328125,14044.7021484375,13862.8447265625,13955.6142578125,14029.8369140625,13876.83203125,13960.0673828125
2023-08-13T14:00:00.0000000,21.417917251586914,19.125288009643555,20.33839225769043,21.418258666992188,19.12126922607422,20.34266471862793,21.397724151611328,19.083091735839844,20.32244110107422,21.448780059814453,19.15542221069336,20.367103576660156,52.571876525878906,50.047916412353516,48.543949127197266,50.021053314208984,47.875640869140625,46.13669204711914,31.823184967041016,31.011241912841797,30.184566497802734,893682.373046875,809453.4912109375,851928.955078125,33715.457916259766,17892.620086669922,25533.939361572266,-809193.5424804688,-893332.763671875,-851539.6118164062,1.771225929260254,0.8549648523330688,1.7206432819366455,1.8239994049072266,0.8500779867172241,1.7426159381866455,1.9217697381973267,0.8293946385383606,1.8488764762878418,0.39033985137939453,0.39505863189697266,0.18017792701721191,0.4116310775279999,0.18062517046928406,0.18597206473350525,14062.2919921875,13897.7763671875,13994.2333984375,14028.43359375,13839.771484375,13951.2607421875,14046.8056640625,13878.716796875,13971.572265625,14038.8125,13897.6025390625,13972.3447265625
2023-08-13T14:15:00.0000000,23.33074188232422,20.842317581176758,22.418336868286133,23.33856773376465,20.853790283203125,22.425371170043945,23.318479537963867,20.83363151550293,22.406770706176758,23.36647605895996,20.876506805419922,22.450977325439453,52.32023620605469,49.02611541748047,47.714447021484375,49.81315612792969,47.55052947998047,45.06764602661133,33.03636169433594,30.652681350708008,28.655410766601562,975033.69140625,878379.3334960938,937233.154296875,34282.85217285156,19848.468780517578,26818.38035583496,-878031.005859375,-974440.185546875,-936845.6420898438,1.7821658849716187,0.8198739886283875,1.6838394403457642,1.815629243850708,0.8229966163635254,1.731201410293579,1.9300918579101562,0.7902364134788513,1.8391960859298706,0.39033985137939453,0.39505863189697266,0.38678064942359924,0.4116310775279999,0.3579758405685425,0.4308842420578003,14010.765625,13893.125,13959.7890625,13967.6005859375,13836.994140625,13919.259765625,13990.8251953125,13873.3623046875,13945.693359375,13987.4296875,13901.0283203125,13941.5908203125
2023-08-13T14:30:00.0000000,24.842004776000977,23.271530151367188,24.103973388671875,24.85701560974121,23.26618003845215,24.113861083984375,24.839834213256836,23.217103958129883,24.094989776611328,24.889202117919922,23.29865264892578,24.142547607421875,54.736000061035156,49.123260498046875,45.90779495239258,50.638641357421875,47.45376968383789,44.78745651245117,33.47571563720703,30.792325973510742,28.12257957458496,1047376.8310546875,975113.76953125,1012070.3735351562,37982.0556640625,25393.604278564453,30323.293685913086,-974517.333984375,-1047057.12890625,-1011609.5581054688,1.782450795173645,0.8034856915473938,1.687973141670227,1.8541738986968994,0.8034697771072388,1.7440613508224487,1.8909040689468384,0.7882822155952454,1.8199633359909058,0.39033985137939453,0.39505863189697266,0.5015914440155029,0.4116310775279999,0.5439983010292053,0.4994051158428192,14121.654296875,13865.28125,14018.6611328125,14063.1796875,13821.9501953125,13972.8291015625,14113.408203125,13856.89453125,14007.87109375,14086.3623046875,13861.2373046875,13999.79296875
2023-08-13T14:45:00.0000000,26.562942504882812,24.43135643005371,25.6787166595459,26.574146270751953,24.452861785888672,25.690753936767578,26.55567741394043,24.438655853271484,25.672826766967773,26.608673095703125,24.480663299560547,25.720735549926758,52.190582275390625,49.14193344116211,46.41022872924805,49.32048797607422,47.44907760620117,45.565067291259766,31.895811080932617,30.703567504882812,28.115623474121094,1113208.251953125,1036320.556640625,1080149.0478515625,45615.318298339844,24987.268447875977,37531.38732910156,-1035868.0419921875,-1112616.8212890625,-1079487.548828125,1.7508355379104614,0.8160253167152405,1.686231017112732,1.8435331583023071,0.8203211426734924,1.7586982250213623,1.8959296941757202,0.7993931770324707,1.8037137985229492,0.39033985137939453,0.39505863189697266,0.4643629789352417,0.4116310775279999,0.4453439712524414,0.4903961420059204,14120.6455078125,13961.9169921875,14048.83984375,14065.46875,13919.81640625,13999.484375,14086.041015625,13936.640625,14027.0107421875,14082.5556640625,13962.6181640625,14025.11328125
2023-08-13T15:00:00.0000000,28.00006866455078,26.305131912231445,27.18458366394043,28.016698837280273,26.317373275756836,27.20001983642578,28.00213623046875,26.298309326171875,27.183055877685547,28.052452087402344,26.347898483276367,27.23240852355957,51.19914245605469,48.3565788269043,46.639869689941406,49.364967346191406,46.98207092285156,45.513282775878906,31.664913177490234,30.403554916381836,29.55817222595215,1176270.1416015625,1113483.0322265625,1143613.1591796875,49648.353576660156,31408.735275268555,41320.16372680664,-1112879.2724609375,-1175544.921875,-1142859.0087890625,1.7442809343338013,0.8017857670783997,1.6925430297851562,1.8416974544525146,0.8186893463134766,1.7887424230575562,1.9037972688674927,0.7889912724494934,1.850659728050232,0.47844594717025757,0.4790724813938141,0.21397729218006134,0.47166192531585693,0.21064412593841553,0.20579184591770172,14078.3583984375,13971.80078125,14043.1044921875,14037.2685546875,13921.125,14000.654296875,14063.95703125,13967.7578125,14028.4736328125,14057.3125,13969.1435546875,14024.0869140625
2023-08-13T15:15:00.0000000,29.43080711364746,27.675004959106445,28.655437469482422,29.447704315185547,27.71222496032715,28.67159080505371,29.436874389648438,27.716886520385742,28.654335021972656,29.48291778564453,27.74477767944336,28.705020904541016,52.02873229980469,50.99238586425781,49.220611572265625,50.72631072998047,49.66598892211914,47.5789909362793,32.111873626708984,31.628036499023438,30.137685775756836,1230941.162109375,1168988.8916015625,1203329.833984375,52465.22521972656,37542.95349121094,43409.305572509766,-1168249.1455078125,-1230243.5302734375,-1202540.283203125,1.7943166494369507,0.8059629201889038,1.716367483139038,1.872853398323059,0.8101866841316223,1.8038243055343628,1.935486078262329,0.785392701625824,1.861364722251892,0.47844594717025757,0.4790724813938141,0.149051234126091,0.47166192531585693,0.13021612167358398,0.12263241410255432,14095.9228515625,13926.7431640625,14021.638671875,14038.0419921875,13883.6181640625,13970.1044921875,14076.833984375,13902.97265625,14004.4228515625,14052.765625,13924.7421875,13998.720703125
2023-08-13T15:30:00.0000000,30.402942657470703,28.7294864654541,29.901161193847656,30.424497604370117,28.754514694213867,29.91948699951172,30.417030334472656,28.736080169677734,29.902393341064453,30.4576416015625,28.7979736328125,29.954938888549805,54.3543586730957,50.59519577026367,47.465030670166016,52.152992248535156,49.4254035949707,47.085384368896484,33.62335968017578,31.670921325683594,30.098857879638672,1278953.369140625,1214350.2197265625,1255249.267578125,55075.90103149414,37258.27407836914,47155.12466430664,-1213778.564453125,-1278242.1875,-1254357.7880859375,1.7607381343841553,0.7905027866363525,1.6984554529190063,1.8230857849121094,0.8013179302215576,1.7573883533477783,1.8992658853530884,0.7659356594085693,1.8171796798706055,0.47844594717025757,0.4790724813938141,0.6044561862945557,0.47166192531585693,0.5385017395019531,0.5313853621482849,14077.017578125,13919.994140625,14017.43359375,14018.5859375,13879.8193359375,13964.962890625,14054.7109375,13910.7353515625,13997.5224609375,14043.0361328125,13927.3408203125,13993.3017578125
2023-08-13T15:45:00.0000000,31.607040405273438,30.225360870361328,31.05442237854004,31.634742736816406,30.246036529541016,31.077138900756836,31.627342224121094,30.232135772705078,31.064565658569336,31.672948837280273,30.28049659729004,31.112449645996094,52.7641487121582,49.44898223876953,44.50691223144531,50.01240539550781,48.08039855957031,45.73195266723633,32.11346435546875,30.861055374145508,29.20427703857422,1326386.23046875,1278825.1953125,1304842.7734375,65230.89599609375,42155.96389770508,52710.357666015625,-1277832.1533203125,-1325272.4609375,-1303768.5546875,1.7424688339233398,0.7707074880599976,1.6906658411026,1.8297888040542603,0.7800070643424988,1.7528536319732666,1.8815709352493286,0.7395217418670654,1.805162787437439,0.47844594717025757,0.4790724813938141,0.47802725434303284,0.47166192531585693,0.4243847131729126,0.4275851249694824,14070.12109375,13944.990234375,14031.2841796875,14003.8740234375,13899.298828125,13974.4091796875,14046.849609375,13924.453125,14006.9462890625,14036.1064453125,13935.0595703125,14004.21484375
